Ime,Starost,Poklic,Rojstni dan
Donald Trump,78,US President,14-06
FGTeeV Mom,45,YouTube Star,14-06
JianHao Tan,31,YouTube Star,14-06
Lucy Hale,35,TV Actress,14-06
Bryce James,17,Family Member,14-06
Gunna,31,Rapper,14-06
Jesy Nelson,33,Pop Singer,14-06
Rachel Weaver,23,TikTok Star,14-06
Tzuyu,25,Pop Singer,14-06
Slimedupmike,22,TikTok Star,14-06
Ayra Starr,22,World Music Singer,14-06
Ryan McCartan,31,TV Actor,14-06
Sara Carrolli,24,YouTube Star,14-06
Danielle Sylvester,40,TikTok Star,14-06
Ellie Blue,18,Model,14-06
Badlinu,21,Twitch Star,14-06
Koreanosh,23,YouTube Star,14-06
Chris Appleton,41,Instagram Star,14-06
Grace Jackson,63,Runner,14-06
Boy George,63,Pop Singer,14-06
Nathan Espinoza,19,TikTok Star,14-06
Daryl Sabara,32,Movie Actor,14-06
Fujii Kaze,27,Pop Singer,14-06
Lyon Daniels,17,TV Actor,14-06
Vincent Whitaker,20,Instagram Star,14-06
Taylor Hatala,21,Instagram Star,14-06
Katya Elise Henry,30,Instagram Star,14-06
Alexandra Felstead,34,Reality Star,14-06
_nash.dc,18,TikTok Star,14-06
Bobby Witt Jr.,24,Baseball Player,14-06
Kevin McHale,36,TV Actor,14-06
Alan Carr,48,Comedian,14-06
Chauncey Leopardi,43,Movie Actor,14-06
Tamara Smart,19,TV Actress,14-06
Ceca,51,Folk Singer,14-06
Danny Garrison,22,TikTok Star,14-06
Aliona Olehivna Savranenko,33,Rapper,14-06
RJ Barrett,24,Basketball Player,14-06
Chelsey White,34,Instagram Star,14-06
Princess Nokia,32,Rapper,14-06
Ryan Magee,30,YouTube Star,14-06
Onagonfaus,19,Instagram Star,14-06
Freddie Gibbs,42,Rapper,14-06
Hannah White,22,TikTok Star,14-06
Eat with Boki,30,YouTube Star,14-06
Tyrone Magnus,47,YouTube Star,14-06
Kara Killmer,36,TV Actress,14-06
