Ime,Starost,Poklic,Rojstni dan
Khloé Kardashian,40,Reality Star,27-06
Tobey Maguire,49,Movie Actor,27-06
Mitchell Hope,30,TV Actor,27-06
Arii Babyy,16,YouTube Star,27-06
Aria Kurzawa,5,Instagram Star,27-06
H.E.R.,27,R&B Singer,27-06
Madison Haschak,24,YouTube Star,27-06
Drake Bell,38,TV Actor,27-06
Chandler Riggs,25,TV Actor,27-06
Andrea Russett,29,YouTube Star,27-06
Oliver Stark,33,TV Actor,27-06
Ed Westwick,37,TV Actor,27-06
Sam Claflin,38,Movie Actor,27-06
Lauren Jauregui,28,Pop Singer,27-06
Kendall Washington,28,Reality Star,27-06
Jo Frost,54,Reality Star,27-06
growingannanas,29,YouTube Star,27-06
Matthew Lewis,35,Movie Actor,27-06
TomSka,34,YouTube Star,27-06
Emma Zia D'Arcy,32,TV Actress,27-06
Isabella Fonte,24,Instagram Star,27-06
Aitana,25,Pop Singer,27-06
Ismail ibn Musa Menk,49,Religious Leader,27-06
Bianca del Rio,49,Reality Star,27-06
Tanner Beeston,31,YouTube Star,27-06
Shannon Purser,27,TV Actress,27-06
JJ Abrams,58,Director,27-06
Meaty Marley,25,YouTube Star,27-06
Gage Bills,20,TikTok Star,27-06
Guga Foods,44,YouTube Star,27-06
bjaynotfamousyet,25,Instagram Star,27-06
Keepupradio,28,TikTok Star,27-06
Camo,32,Rapper,27-06
Vera Wang,75,Fashion Designer,27-06
Kimiko Glenn,35,TV Actress,27-06
Sohee,32,Pop Singer,27-06
Will Levis,25,Football Player,27-06
Cocone Clayton,20,YouTube Star,27-06
Tussygames,29,Roblox Star,27-06
Nico Rosberg,39,Race Car Driver,27-06
Jeremy Swift,64,TV Actor,27-06
Joey Cold Cuts,38,Instagram Star,27-06
Tiana Musarra,27,Instagram Star,27-06
Wonuf,25,YouTube Star,27-06
BoomerNA,23,Twitch Star,27-06
Sistine Stallone,26,Model,27-06
