Ime,Starost,Poklic,Rojstni dan
Jacob Moran,17,Movie Actor,02-06
Kevin Roblox,19,Roblox Star,02-06
Beetlejuice,56,Comedian,02-06
Joe Slater,28,Pop Singer,02-06
Baylaa Nishaandfam,9,YouTube Star,02-06
Mrs Netta,47,TikTok Star,02-06
This Esme,23,YouTube Star,02-06
Michael Green,37,YouTube Star,02-06
Jadah Marie Johnson,19,TV Actress,02-06
Colie.1,22,TikTok Star,02-06
Madison Hu,22,TV Actress,02-06
Wendigoon,25,YouTube Star,02-06
Wentworth Miller,52,TV Actor,02-06
Awkwafina,36,Rapper,02-06
Lilimar,24,TV Actress,02-06
AJ Styles,47,Wrestler,02-06
Wayne Brady,52,TV Actor,02-06
Eva Miller,22,YouTube Star,02-06
Sharon Cancio,26,YouTube Star,02-06
Ethan Slater,32,Stage Actor,02-06
Conner Bobay,26,YouTube Star,02-06
Hamzah Saleh,20,Instagram Star,02-06
polarcub,24,Roblox Star,02-06
Amber Marshall,36,TV Actress,02-06
Yaboyywill,22,TikTok Star,02-06
Scott Wozniak,27,YouTube Star,02-06
Shroud,30,Twitch Star,02-06
Justin Long,46,Movie Actor,02-06
Sergio Agüero,36,Soccer Player,02-06
Willow Sage Hart,13,Family Member,02-06
Maxwell Radziemski,16,TikTok Star,02-06
thatssoodrea,27,TikTok Star,02-06
Brandon Grogan,23,TikTok Star,02-06
Andy Cohen,56,TV Show Host,02-06
Dominic Cooper,46,Movie Actor,02-06
Kareem Khalil,35,TikTok Star,02-06
Littlefoxhermes,17,TikTok Star,02-06
Bobby Jack Brazier,21,Soap Opera Actor,02-06
Jeremy Ray Taylor,21,Movie Actor,02-06
Abby Wambach,44,Soccer Player,02-06
Becca Bastos,28,TikTok Star,02-06
Morena Baccarin,45,TV Actress,02-06
AllyiahsFace,29,YouTube Star,02-06
Jo Koy,53,Comedian,02-06
Zachary Quinto,47,TV Actor,02-06
Ryan Prevedel,22,TikTok Star,02-06
Lalo Gonzalez,31,Photographer,02-06
Laura Filipowicz,53,Entrepreneur,02-06
