Ime,Starost,Poklic,Rojstni dan
Jude Bellingham,21,Soccer Player,29-06
Isa Escudero,16,TikTok Star,29-06
Lisi German,17,TikTok Star,29-06
Camila Mendes,30,TV Actress,29-06
Anis Sienna,14,YouTube Star,29-06
JaycoSet,26,TikTok Star,29-06
SmallishBeans,31,YouTube Star,29-06
Oliver Tree,31,Rock Singer,29-06
Lance Barber,51,TV Actor,29-06
Nicole Scherzinger,46,Pop Singer,29-06
Shauna Rae,25,Reality Star,29-06
Rhys Herbert,24,Rapper,29-06
Wyatt Flores,23,Country Singer,29-06
Zion Kuwonu,25,Pop Singer,29-06
Noah Vargas,3,Family Member,29-06
Dom Zeglaitis,29,YouTube Star,29-06
Ben Maedo,22,YouTube Star,29-06
Kawhi Leonard,33,Basketball Player,29-06
Richard Fowler,21,TikTok Star,29-06
Ellie Ana,15,YouTube Star,29-06
Jackie Ybarra,22,TikTok Star,29-06
Colin Jost,42,Comedian,29-06
YuB,37,YouTube Star,29-06
Princess Andre,17,Reality Star,29-06
Matt Rempe,22,Hockey Player,29-06
milessdespair,23,TikTok Star,29-06
Colette Butler,42,YouTube Star,29-06
Gunnar Henderson,23,Baseball Player,29-06
Kia Pegg,24,TV Actress,29-06
BBG Steppaa,17,Rapper,29-06
Suzette Quintanilla,57,Drummer,29-06
Mary Senn,31,YouTube Star,29-06
Gary Busey,80,Movie Actor,29-06
Tra Rags,24,TikTok Star,29-06
Charlamagne Tha God,46,Radio Host,29-06
Sauce Walka,34,Rapper,29-06
Natee B,23,Rapper,29-06
Jake Cornell,22,TikTok Star,29-06
Emma Fuente,23,TikTok Star,29-06
Matthew Mercer,42,Voice Actor,29-06
Abdel Na,25,TikTok Star,29-06
MC Magic,54,Rapper,29-06
Nathan Vandergunst,25,YouTube Star,29-06
hnnhxl,23,TikTok Star,29-06
Gabriel Rossell,15,Pop Singer,29-06
Gray Evans,23,TikTok Star,29-06
SSN Santa,25,YouTube Star,29-06
The Gemini,24,TikTok Star,29-06
